CID	ACT_AN
65463	Active
439501	Active
71203	Active
2812	Active
10649	Active
55918	Active
65710	Active
4485	Active
54900	Active
1359	Active
5593	Active
11289	Active
4189	Active
3760	Active
47471	Active
65495	Active
200103	Active
3902	Active
8813	Active
175533	Active
1548943	Active
445354	Active
163751	Active
2378	Active
68589	Active
5284616	Active
30323	Active
10219	Active
2733525	Active
104741	Active
47936	Active
45073437	Active
45356872	Active
68601	Active
65768	Active
62960	Active
108005	Active
2723598	Active
65399	Active
636362	Active
6433339	Active
3718	Active
443101	Active
14710	Active
13789	Active
9556529	Active
60699	Active
60198	Active
60496	Active
64715	Active
294641	Active
443831	Active
65909	Active
443375	Active
6764	Active
165457	Active
5284513	Active
20054868	Active
10107	Active
173636	Active
11273	Active
2750	Active
9927058	Active
5311217	Active
119182	Active
60196288	Active
176870	Active
34001	Active
23663976	Active
50248	Active
60164	Active
2187	Active
23663992	Active
37907	Active
9849425	Active
5482	Active
153751	Active
157917	Active
164877	Active
6099	Active
6442177	Active
5381	Active
16078	Active
443946	Active
387447	Active
126565	Active
71454	Active
25381	Active
443942	Active
108143	Active
5284610	Active
151194	Active
5282180	Active
71580	Active
60196332	Active
56840936	Active
3003141	Active
154256	Active
5833	Active
23705	Active
2800	Active
71890	Active
2723601	Active
68547	Active
129209	Active
119175	Active
34870	Active
66067	Active
101576	Active
6197	Active
3033151	Active
22386467	Active
4066	Active
13676	Active
22833389	Active
13745	Active
2734223	Active
99953	Active
3068143	Active
62130	Active
197873	Active
102724	Active
6799	Active
3015167	Active
12040509	Active
22239085	Active
53316407	Active
2734227	Active
10250129	Active
2734231	Active
28700	Active
9483	Active
11460221	Active
16212746	Active
2734243	Active
93221	Active
12184591	Active
7230	Active
13636	Active
449459	Active
7578	Active
11247	Active
2734117	Active
6436079	Active
62770	Active
70038	Active
2733526	Active
4169	Active
73665	Active
43234	Active
73675	Active
47326	Active
8816	Active
37175	Active
235227	Active
43226	Active
41385	Active
2724385	Active
11057	Active
44073	Active
6336	Active
2268	Active
27465	Active
7579	Active
2286	Active
26177	Active
441140	Active
4793	Active
86102	Active
12472902	Active
9395	Active
177	Active
457193	Active
13816	Active
104827	Active
10754	Active
23892	Active
5035	Active
2734225	Active
10044526	Active
2775940	Active
46226173	Active
23160059	Active
18506491	Active
60196375	Active
24944555	Active
60196379	Active
2734229	Active
10789	Active
9164	Active
6527	Active
9865233	Active
9849616	Active
53316380	Active
53232	Active
8152	Active
54454	Active
13961743	Active
9935274	Active
8722	Active
5770	Active
31362	Active
6618	Active
21387	Active
833466	Active
11723708	Active
75893	Active
27189	Active
34526	Active
107720	Active
86138	Active
107080	Active
91699	Active
39385	Active
91655	Active
54745	Active
31200	Active
28935	Active
3317081	Active
62210	Active
14145	Active
86222	Active
80277	Active
86398	Active
21804	Active
50897	Active
91754	Active
10403199	Active
28999	Active
5355863	Active
91731	Active
86132	Active
3033674	Active
12898	Active
61594	Active
62379	Active
91683	Active
53672	Active
28768	Active
31239	Active
91693	Active
15530	Active
34313	Active
91727	Active
66571	Active
75444	Active
93528	Active
91673	Active
14569	Active
39230	Active
87019	Active
93162	Active
93312	Active
74937	Active
20113	Active
3005572	Active
5284462	Active
50895	Active
60974	Active
16115	Active
30709	Active
28417	Active
67274	Active
13708	Active
2361	Active
2603	Active
81080	Active
8507	Active
32872	Active
67005	Active
11127402	Active
60822	Active
1268142	Active
9855795	Active
60823	Active
3444	Active
86211	Active
23173	Active
31280	Active
446155	Active
8305	Active
11933	Active
8342	Active
12688	Active
10868	Active
10068207	Active
5280863	Active
86287525	Active
31100	Active
59694	Active
16051930	Active
3712	Active
41368	Active
89753	Inactive
9403	Inactive
13218779	Inactive
637566	Inactive
4766	Inactive
3080	Inactive
197883	Inactive
51	Inactive
66435	Inactive
8969	Inactive
10664	Inactive
8739	Inactive
4904	Inactive
65708	Inactive
60196259	Inactive
5338	Inactive
3246155	Inactive
5920	Inactive
54724367	Inactive
24403	Inactive
6419941	Inactive
6603108	Inactive
6419978	Inactive
5459110	Inactive
656597	Inactive
3000668	Inactive
22576	Inactive
2333	Inactive
614	Inactive
94280	Inactive
23664709	Inactive
546	Inactive
16678045	Inactive
14676	Inactive
298391	Inactive
4078	Inactive
2348	Inactive
23667629	Inactive
3151	Inactive
5694	Inactive
4614	Inactive
3061720	Inactive
35370	Inactive
2266	Inactive
1727	Inactive
2081	Inactive
1989	Inactive
2130	Inactive
169371	Inactive
5283389	Inactive
119	Inactive
1935	Inactive
135398513	Inactive
2244	Inactive
2141	Inactive
1986	Inactive
2230	Inactive
16231	Inactive
564	Inactive
135401907	Inactive
2157	Inactive
2119	Inactive
2123	Inactive
2196	Inactive
4768	Inactive
2471	Inactive
2284	Inactive
2369	Inactive
2477	Inactive
2717	Inactive
2765	Inactive
2708	Inactive
2578	Inactive
2754	Inactive
6241	Inactive
22420	Inactive
72276	Inactive
2727	Inactive
4211	Inactive
2733	Inactive
2756	Inactive
2720	Inactive
5309446	Inactive
1547484	Inactive
1355	Inactive
2913	Inactive
135398737	Inactive
4652	Inactive
64927	Inactive
2796	Inactive
2803	Inactive
2753	Inactive
2726	Inactive
2762	Inactive
2576	Inactive
19379	Inactive
2910	Inactive
3100	Inactive
65327	Inactive
6419921	Inactive
3053	Inactive
3019	Inactive
4943	Inactive
9363	Inactive
53708	Inactive
8307	Inactive
72016	Inactive
6207	Inactive
3396	Inactive
3331	Inactive
3339	Inactive
3373	Inactive
3442	Inactive
3356	Inactive
3341	Inactive
3325	Inactive
3478	Inactive
3446	Inactive
3488	Inactive
71401	Inactive
135398740	Inactive
3559	Inactive
5702293	Inactive
3639	Inactive
774	Inactive
681	Inactive
3657	Inactive
785	Inactive
3672	Inactive
3779	Inactive
3696	Inactive
133621	Inactive
3827	Inactive
3932	Inactive
3965	Inactive
3878	Inactive
39562	Inactive
3676	Inactive
3957	Inactive
4170	Inactive
4168	Inactive
4184	Inactive
5353788	Inactive
4201	Inactive
6420039	Inactive
896	Inactive
119442	Inactive
4032	Inactive
4054	Inactive
4507	Inactive
4497	Inactive
4500	Inactive
4567	Inactive
4418	Inactive
4495	Inactive
4472	Inactive
4493	Inactive
39214	Inactive
4581	Inactive
4628	Inactive
4636	Inactive
4626	Inactive
4847	Inactive
4828	Inactive
4671	Inactive
4740	Inactive
16362	Inactive
40632	Inactive
6084	Inactive
4927	Inactive
4932	Inactive
4843	Inactive
4992	Inactive
54676228	Inactive
1676	Inactive
5917	Inactive
1046	Inactive
4909	Inactive
4848	Inactive
9373	Inactive
4781	Inactive
6603149	Inactive
4850	Inactive
4913	Inactive
4938	Inactive
5795	Inactive
5702242	Inactive
3001055	Inactive
5074	Inactive
5073	Inactive
68712	Inactive
5095	Inactive
56959	Inactive
5268	Inactive
5253	Inactive
5335	Inactive
131746	Inactive
72124	Inactive
2083	Inactive
1548887	Inactive
3448	Inactive
656665	Inactive
5387	Inactive
5426	Inactive
5702214	Inactive
1123	Inactive
5505	Inactive
5503	Inactive
5429	Inactive
864	Inactive
62935	Inactive
2052	Inactive
5578	Inactive
54840	Inactive
671690	Inactive
5405	Inactive
5639	Inactive
2435	Inactive
2520	Inactive
5665	Inactive
5707	Inactive
155774	Inactive
5282386	Inactive
135399235	Inactive
5723	Inactive
6100	Inactive
31195	Inactive
23663954	Inactive
71399	Inactive
23681233	Inactive
60196260	Inactive
11953895	Inactive
54670067	Inactive
135445761	Inactive
5284486	Inactive
5883	Inactive
3440	Inactive
4174	Inactive
45105092	Inactive
5324	Inactive
5342	Inactive
4993	Inactive
6009	Inactive
4055	Inactive
938	Inactive
6047	Inactive
6048	Inactive
60196261	Inactive
1349907	Inactive
2206	Inactive
6093	Inactive
4044	Inactive
2148	Inactive
6103	Inactive
4754	Inactive
6114	Inactive
6126	Inactive
6135	Inactive
2310	Inactive
54686764	Inactive
54704426	Inactive
5311498	Inactive
6231	Inactive
5215	Inactive
3775	Inactive
5340	Inactive
5775	Inactive
2315	Inactive
6307	Inactive
4994	Inactive
2732	Inactive
3291	Inactive
2955	Inactive
6634	Inactive
5330	Inactive
3828	Inactive
4760	Inactive
192197	Inactive
667476	Inactive
6769	Inactive
4806	Inactive
3025	Inactive
6839	Inactive
3292	Inactive
4075	Inactive
5280567	Inactive
644020	Inactive
2343	Inactive
3293	Inactive
3516	Inactive
7172	Inactive
2482	Inactive
3735	Inactive
204	Inactive
1983	Inactive
7699	Inactive
15723	Inactive
5315	Inactive
3038	Inactive
5104	Inactive
8480	Inactive
5323	Inactive
4621	Inactive
5576	Inactive
5344	Inactive
5319	Inactive
5325	Inactive
10133	Inactive
275196	Inactive
4641	Inactive
8520	Inactive
2788	Inactive
4632	Inactive
66063	Inactive
65464	Inactive
5560	Inactive
3647	Inactive
67313	Inactive
3607	Inactive
5328	Inactive
5336	Inactive
2480	Inactive
9051	Inactive
54676537	Inactive
6433169	Inactive
4114	Inactive
67533	Inactive
21138	Inactive
9458	Inactive
9703	Inactive
4173	Inactive
91453	Inactive
3182	Inactive
221071	Inactive
2883	Inactive
1892	Inactive
10621	Inactive
5282318	Inactive
10648	Inactive
34458	Inactive
3371	Inactive
5281417	Inactive
4107	Inactive
10766	Inactive
102426	Inactive
164652	Inactive
2761171	Inactive
10830	Inactive
3168	Inactive
11078	Inactive
4100	Inactive
11368	Inactive
11391	Inactive
9915886	Inactive
4977	Inactive
6433208	Inactive
2804	Inactive
9570076	Inactive
5326	Inactive
3081	Inactive
5329	Inactive
2904	Inactive
5280723	Inactive
54680694	Inactive
13266	Inactive
2797	Inactive
2724	Inactive
6420022	Inactive
101925	Inactive
441328	Inactive
5702159	Inactive
54688689	Inactive
14051	Inactive
4165	Inactive
122824	Inactive
64713	Inactive
5526	Inactive
71611	Inactive
5332	Inactive
60196262	Inactive
16051954	Inactive
60196264	Inactive
91505	Inactive
207841	Inactive
64722	Inactive
62413	Inactive
15443	Inactive
92163	Inactive
2723716	Inactive
3366	Inactive
2794	Inactive
16363	Inactive
4487	Inactive
2466	Inactive
17134	Inactive
17275	Inactive
17683	Inactive
9883104	Inactive
18340	Inactive
76621	Inactive
3926	Inactive
19003	Inactive
19004	Inactive
6420038	Inactive
441345	Inactive
92968	Inactive
3690	Inactive
19675	Inactive
5585	Inactive
54685047	Inactive
