CID	ACT_AN
6505	Active
13493	Active
31331	Active
65494	Active
27891	Active
3003141	Active
10455790	Active
26602	Active
5282203	Active
133264	Active
9568078	Active
34051	Active
119175	Active
9570475	Active
35751	Active
3300	Active
164072	Active
71837	Active
5311454	Active
62660	Active
5281707	Active
7216	Active
7248	Active
7595	Active
15752	Active
3894848	Active
4890	Active
29872	Active
13745	Active
5282379	Active
16741	Active
6035	Active
26690	Active
75146	Active
61100	Active
16932	Active
36159	Active
40301	Active
7472	Active
12089	Active
627458	Active
15132	Active
22571	Active
7062	Active
22086	Active
5993	Active
5273621	Active
15588	Active
7546	Active
18360	Active
6439929	Active
1548943	Active
95170	Active
2391	Active
6319	Active
6828	Active
7102	Active
2482	Active
8442	Active
17593	Active
7112	Active
62130	Active
146540	Active
90547	Active
20240	Active
7253	Active
6670	Active
13297	Active
10891	Active
25015	Active
83050	Active
8570	Active
69150	Active
23019	Active
6620	Active
608116	Active
13065	Active
84677	Active
6799	Active
8633	Active
17321	Active
7490	Active
6929	Active
9958	Active
7192	Active
9414	Active
7543	Active
28207	Active
22833294	Active
67349	Active
11112	Active
6881	Active
11830	Active
7264	Active
53462	Active
2336	Active
8407	Active
9158	Active
10941	Active
7331	Active
6053	Active
22463	Active
76063	Active
8706	Active
5897	Active
20701	Active
17113	Active
13101	Active
919792	Active
98613	Active
5281567	Active
17231	Active
5930	Active
5281565	Active
5284469	Active
71645	Active
5801	Active
18728	Active
17570	Active
123504	Active
11990	Active
7578	Active
638015	Active
8428	Active
7563	Active
98356	Active
69317	Active
113124	Active
7265	Active
9147	Active
6436079	Active
34757	Active
95416	Active
33133	Active
7638	Active
15277	Active
12111	Active
10316	Active
6753	Active
79717	Active
41684	Active
14347	Active
1752	Active
6635	Active
9502	Active
13728	Active
8572	Active
8413	Active
24744	Active
6294	Active
11742	Active
62276	Active
22584	Active
3293	Active
6732	Active
445154	Active
5870	Active
4169	Active
7567	Active
7713	Active
7261	Active
13263	Active
7573	Active
15630	Active
5280961	Active
40585	Active
3120	Active
5281708	Active
62485	Active
73665	Active
73864	Active
43234	Active
73675	Active
135465076	Active
3036	Active
8289	Active
16560	Active
8561	Active
8341	Active
5280443	Active
7104	Active
7327	Active
11937	Active
7076	Active
10707	Active
40326	Active
5284441	Active
3346	Active
7064	Active
41385	Active
24685	Active
78170	Active
6702	Active
73670	Active
7577	Active
9128	Active
76302	Active
10332	Active
10522	Active
5934	Active
11831	Active
4114	Active
6796	Active
7050	Active
5994	Active
6001	Active
27189	Active
9154	Active
6129	Active
2871	Active
31357	Active
29732	Active
8679	Active
38479	Active
11933	Active
3589	Active
7421	Active
5125	Active
79878	Active
6720	Active
75576	Active
86607	Active
7516	Active
4632	Active
21307	Active
638024	Active
7814	Active
991	Active
53518	Active
7547	Active
33775	Active
5954	Active
13690	Active
7013	Active
13450	Active
7057	Active
5280373	Active
11776	Active
7005	Active
81259	Active
992	Active
5053	Active
7813	Active
7564	Active
62630	Active
62311	Active
8691	Active
8615	Active
16220111	Active
60962	Active
2078	Active
62306	Active
4764	Active
7103	Active
66166	Active
7070	Active
8418	Active
36606	Active
13089	Active
38037	Active
8689	Active
7340	Active
14127	Active
4793	Active
16043	Active
73852	Active
289	Active
444795	Active
41384	Active
4929	Active
785	Active
10377	Active
7111	Active
34192	Active
3224	Active
13283	Active
9153	Active
2730	Active
6641	Active
8305	Active
5430	Active
8588	Active
7031	Active
6786	Active
7232	Active
8411	Active
1988	Active
76013	Active
174223	Active
37034	Active
10771	Active
6537498	Active
10208	Active
6731	Active
5889	Active
6450278	Active
104827	Active
5281575	Active
158629	Active
5702746	Active
13487610	Active
6076971	Active
638088	Active
7518	Active
7115	Active
75628	Active
15625	Active
71027	Active
15412	Active
256687	Active
387179	Active
67589	Active
107882	Active
10308	Active
68297	Active
4788	Active
11764	Active
6528	Active
7571	Active
11796	Active
17279	Active
17599	Active
3014138	Active
95717	Active
5377793	Active
541	Active
11309	Active
44368	Active
69908	Active
6724	Active
3884	Active
74867	Active
74062	Active
28308	Active
15529	Active
1539	Active
14589	Active
70425	Active
34697	Active
26176	Active
6527	Active
8425	Active
10680	Active
7381	Active
2347	Active
6623	Active
6506	Active
3339	Active
3286	Active
6439420	Active
153939	Active
9882837	Active
9895468	Active
53316382	Active
10201497	Active
456201	Active
445354	Active
5757	Active
62459	Active
71245	Active
2943	Active
91741	Active
27195	Active
16421	Active
10021362	Active
9984487	Active
9935274	Active
9839190	Active
10407399	Active
9865929	Active
9949821	Active
53316393	Active
9926621	Active
92299	Active
25429	Active
3397	Active
60196414	Active
22206	Active
12358480	Active
21387	Active
11285653	Active
31736	Active
96088	Active
86296	Active
16760153	Active
65067	Active
17891	Active
8433	Active
34469	Active
7652	Active
21803	Active
91744	Active
91753	Active
34526	Active
17533	Active
12932	Active
25152	Active
7555	Active
4477	Active
38779	Active
2723649	Active
13940	Active
8227	Active
25912	Active
25146	Active
86138	Active
2883	Active
91650	Active
91776	Active
11048796	Active
39223	Active
107080	Active
3391107	Active
5372405	Active
91699	Active
176879	Active
47326	Active
2912	Active
31200	Active
28935	Active
25127	Active
61008	Active
31677	Active
86367	Active
62210	Active
54778	Active
29216	Active
5284341	Active
82646	Active
8268	Active
7693	Active
86222	Active
3032472	Active
3883	Active
153974	Active
62829	Active
213016	Active
86398	Active
13218777	Active
92425	Active
86429	Active
11097730	Active
32241	Active
50367	Active
10403199	Active
93379	Active
20965	Active
33360	Active
36565	Active
6422843	Active
2728	Active
91757	Active
7020	Active
7328	Active
19587	Active
100524	Active
51605	Active
7219	Active
36870	Active
11437710	Active
61594	Active
86013	Active
64865	Active
119193	Active
117640	Active
53672	Active
91692	Active
89440	Active
21080	Active
66573	Active
2723715	Active
6872	Active
62389	Active
6636	Active
11488	Active
90479	Active
36679	Active
34313	Active
9298	Active
15969	Active
10303	Active
118703	Active
91664	Active
27295	Active
28292	Active
34766	Active
37125	Active
26033	Active
17517	Active
5510	Active
803	Active
94932	Active
66609	Active
93335	Active
17531	Active
16247	Active
13081	Active
38884	Active
60196420	Active
31957	Active
6694	Active
73854	Active
66571	Active
6624	Active
62428	Active
79688	Active
6504	Active
85821	Active
1549133	Active
81346	Active
20691	Active
6683	Active
80434	Active
3957	Active
6867	Active
79633	Active
104143	Active
16143	Active
3033871	Active
10234	Active
51369	Active
4578030	Active
40520	Active
17435	Active
4767	Active
10107	Active
19756	Active
11140605	Active
32184	Active
9570290	Active
12309460	Active
54886	Active
75557	Active
16834	Active
39230	Active
14869	Active
80037	Active
94544	Active
67236	Active
671	Active
92387	Active
6621	Active
243274	Active
6772	Active
116814	Active
93312	Active
86171	Active
76767	Active
22833	Active
20113	Active
93098	Active
5284462	Active
27211	Active
42981	Active
459494	Active
87367	Active
92238	Active
109029	Active
3334	Active
60196427	Active
6291	Active
5280378	Active
24743	Active
15583	Active
3899	Active
97354	Active
5360487	Active
23665583	Active
9690	Active
19113	Active
20848	Active
16115	Active
30709	Active
22094	Active
16422	Active
38283	Active
67350	Active
70801	Active
170530	Active
3034351	Active
18290	Active
15376	Active
41331	Active
67274	Active
17434	Active
2361	Active
8651	Active
6688	Active
98282	Active
6773	Active
13097	Active
6099	Active
24671	Active
90571	Active
9948	Active
7071	Active
13254	Active
449171	Active
29307	Active
32872	Active
34468	Active
16722125	Active
31573	Active
67005	Active
11774	Active
62329	Active
40813	Active
3482402	Active
9300	Active
91590	Active
9462	Active
8594	Active
14720269	Active
5281607	Active
4499	Active
5281025	Active
5281055	Active
39040	Active
22522	Active
6025	Active
3444	Active
10409	Active
18783	Active
31224	Active
42504	Active
9351	Active
121639	Active
23666110	Active
162268	Active
31223	Active
62217	Active
75547	Active
16821	Active
7659	Active
223368	Active
31353	Active
8400	Active
4211	Active
8640	Active
612040	Active
21209	Active
6854	Active
11769	Active
6295	Active
6529	Active
31356	Active
8663	Active
6537494	Active
1318	Active
6777	Active
11883	Active
70400	Active
3220	Active
2355	Active
14716	Active
5280863	Active
20087	Active
29354	Active
3735	Active
38360	Active
83656	Active
16051930	Active
68570	Active
23668198	Active
8765	Active
6625	Active
7108	Active
7175	Active
7243	Active
15730	Active
6051	Active
69779	Active
11767	Active
4338370	Active
17818	Active
11761	Active
4984721	Active
16720	Active
4004	Active
13709	Active
3712	Active
11818	Active
31423	Active
11442	Active
4115	Active
31070	Active
5794	Active
5472	Active
9403	Active
2812	Active
66063	Active
3042	Active
2082	Active
47471	Active
5070	Active
4409	Active
5905	Active
3784	Active
62960	Active
3295	Active
72187522	Active
36339	Active
4768	Active
1549008	Active
247839	Active
134018	Active
9556529	Active
115366	Active
9818306	Active
8609	Active
6005	Active
5585	Active
5482	Active
2161	Active
123596	Active
176870	Active
2480	Active
7696	Active
7619	Active
5468	Active
160796	Active
10288	Active
2194	Active
6084	Active
62330	Active
5388977	Active
2816	Active
3778	Active
2378	Active
6420010	Active
443955	Active
5506	Active
4006	Active
9927058	Active
3086676	Active
5309446	Active
33611	Active
636411	Active
72137	Active
5343	Active
3316	Active
3747	Active
3275	Active
119583	Active
3760	Active
192197	Active
5282433	Active
3671	Active
10631	Active
72416	Active
3326	Active
71128	Active
4122	Active
22601	Active
88836	Active
24871267	Active
65758	Active
151194	Active
688145	Active
60785	Active
65341	Active
68848	Active
54339	Active
7174	Active
68943	Active
5458876	Active
71203	Active
71967	Active
53388	Active
31635	Active
68909	Active
107641	Active
135659063	Active
28767	Active
8593	Active
71693	Active
65768	Active
6436135	Active
7083	Active
14369	Active
123015	Active
1684	Active
65770	Active
159977	Active
82148	Active
9570327	Active
33925	Active
10616	Active
71894	Active
33334	Active
71750	Active
4488	Active
17036	Active
19646	Active
53398649	Active
24405	Active
65591	Active
3828	Active
71821	Active
14652	Active
7176	Active
71873	Active
60196270	Active
156422	Active
54897	Active
65776	Active
6450551	Active
76619	Active
10212	Active
152801	Active
69912	Active
2723694	Active
74106	Active
34458	Active
17693	Active
11219835	Active
11957707	Active
17811	Active
87293	Active
246598	Active
11381	Active
9131	Active
22830	Active
28531	Active
13257	Active
11232	Active
22419268	Active
19284	Active
16248	Active
91779	Active
69925	Active
10937610	Active
23663539	Active
18386	Active
17204	Active
17241	Active
36584	Active
26975	Active
119361	Active
17161	Active
6766	Active
623849	Active
7623	Active
83119	Active
16033	Active
11777	Active
11983	Active
12855	Active
166480	Active
6456	Active
6539	Active
6709	Active
6749	Active
6836	Active
7113	Active
71012	Active
13059052	Active
92140	Active
92942	Active
60977	Active
46783063	Active
10133071	Active
26391	Active
18170	Active
154914	Active
6537495	Active
21694	Active
14090	Active
10452	Active
197873	Active
7586	Active
13436	Active
12036651	Active
2723598	Active
37542	Active
11247	Active
232446	Active
135436526	Active
6197	Active
62770	Active
135464373	Active
53665	Active
5991	Active
15797	Active
2708	Active
12232	Active
28777	Active
15096	Active
8342	Active
4993	Active
11860	Active
27465	Active
35370	Active
24633	Active
6868	Active
441140	Active
24502	Active
62530	Active
3385	Active
448537	Active
443939	Active
460612	Active
16211849	Active
2734179	Active
21917397	Active
18815	Active
16682746	Active
12902	Active
26177	Active
9909677	Active
9849616	Active
60196405	Active
60196410	Active
6629	Active
93118	Active
6252	Active
75516	Active
33528	Active
6167	Active
20279	Active
1345	Active
169371	Active
11723708	Active
11402127	Active
249494	Active
17701	Active
1474	Active
76716	Active
6321405	Active
85335	Active
604152	Active
16683072	Active
25051	Active
42745	Active
31315	Active
117746	Active
6435993	Active
6253	Active
8507	Active
5284558	Active
47936	Active
82146	Active
16682953	Active
62539	Active
526624	Active
657220	Active
3347	Active
18529	Active
60196435	Active
10068207	Active
16682834	Active
25015677	Active
636362	Active
60164	Active
126941	Active
60871	Active
657237	Active
60196364	Active
3054	Active
5746	Active
74990	Active
3955	Active
5281078	Active
6256	Active
148124	Active
5388983	Active
387447	Active
23663992	Active
60749	Active
60699	Active
34632	Active
119182	Active
8814	Active
45006154	Active
446541	Active
51082	Active
13765	Active
5790	Active
6918303	Active
16051941	Active
5486830	Active
65628	Active
11969781	Active
104850	Active
9577124	Active
4622	Active
443101	Active
1549517	Active
165457	Active
11296583	Active
2577	Active
4177	Active
71413	Active
65947	Active
18343	Active
2448	Active
4963	Active
5489012	Active
5284486	Active
124225	Active
119369	Active
9983292	Active
9849425	Active
5805243	Active
73828	Active
24466	Active
8269	Active
6918454	Active
6572	Active
11159021	Active
12540	Active
9936739	Active
90004	Active
17201	Active
3045407	Inactive
14708	Inactive
5432	Inactive
54158	Inactive
3045402	Inactive
11956149	Inactive
3058503	Inactive
71580	Inactive
60196310	Inactive
60196312	Inactive
3041255	Inactive
3030770	Inactive
62300	Inactive
60196316	Inactive
60196318	Inactive
60196319	Inactive
118031	Inactive
60196321	Inactive
60196322	Inactive
60196324	Inactive
60196325	Inactive
62786	Inactive
60196328	Inactive
60196330	Inactive
6321225	Inactive
21124389	Inactive
16219349	Inactive
2164	Inactive
31143	Inactive
9567	Inactive
5761	Inactive
60196332	Inactive
12259683	Inactive
64761	Inactive
24802109	Inactive
6442928	Inactive
5492898	Inactive
5359421	Inactive
3057998	Inactive
71285	Inactive
10257	Inactive
60196334	Inactive
60196335	Inactive
24721009	Inactive
4980	Inactive
14184	Inactive
102710	Inactive
197059	Inactive
10624	Inactive
24194381	Inactive
44072	Inactive
71992	Inactive
11243969	Inactive
54686904	Inactive
6918126	Inactive
5485221	Inactive
60196336	Inactive
6918222	Inactive
5362115	Inactive
3307	Inactive
3395	Inactive
5282164	Inactive
636398	Inactive
47462	Inactive
80278	Inactive
4887	Inactive
45357485	Inactive
9938056	Inactive
64949	Inactive
8293	Inactive
13755	Inactive
3047798	Inactive
92094	Inactive
10251042	Inactive
4783	Inactive
216237	Inactive
210301	Inactive
3740	Inactive
9811353	Inactive
132916	Inactive
23663963	Inactive
185457	Inactive
1999	Inactive
125564	Inactive
151173	Inactive
3035267	Inactive
71809	Inactive
130990	Inactive
72004	Inactive
3309	Inactive
5282450	Inactive
6918106	Inactive
127998	Inactive
129319	Inactive
23684123	Inactive
60196350	Inactive
20054967	Inactive
3045414	Inactive
60810	Inactive
65953	Inactive
4726	Inactive
164486	Inactive
20749	Inactive
19596	Inactive
60751	Inactive
129991	Inactive
60196351	Inactive
5464257	Inactive
71793	Inactive
5311398	Inactive
60021	Inactive
15004	Inactive
71900	Inactive
33176	Inactive
65394	Inactive
34870	Inactive
4474062	Inactive
53359	Inactive
27901	Inactive
91273	Inactive
71467	Inactive
31473	Inactive
3489	Inactive
636399	Inactive
208925	Inactive
4921	Inactive
66067	Inactive
4047	Inactive
20056549	Inactive
4257	Inactive
44341259	Inactive
11499	Inactive
688576	Inactive
208836	Inactive
32995	Inactive
2461	Inactive
198695	Inactive
198707	Inactive
92877	Inactive
16013	Inactive
5284620	Inactive
656667	Inactive
57372628	Inactive
6476	Inactive
60196368	Inactive
135400182	Inactive
643833	Inactive
76985	Inactive
21660	Inactive
6113	Inactive
13594	Inactive
6396	Inactive
31284	Inactive
62449	Inactive
13363	Inactive
67955	Inactive
11138	Inactive
642197	Inactive
6537505	Inactive
3543259	Inactive
11137	Inactive
12281	Inactive
6561	Inactive
6571	Inactive
6510	Inactive
14896	Inactive
18050	Inactive
15313	Inactive
165286	Inactive
27655	Inactive
7521	Inactive
8102	Inactive
15439	Inactive
19920	Inactive
5943	Inactive
22710	Inactive
6569	Inactive
6693	Inactive
8924	Inactive
75103	Inactive
61002	Inactive
6861	Inactive
12694	Inactive
7557	Inactive
28503	Inactive
4649906	Inactive
12443	Inactive
6584	Inactive
16212317	Inactive
6416	Inactive
9005	Inactive
91538	Inactive
22833389	Inactive
13836	Inactive
6557	Inactive
5281034	Inactive
11346	Inactive
6591	Inactive
7260	Inactive
61017	Inactive
7022	Inactive
9635	Inactive
62500	Inactive
90960	Inactive
5284371	Inactive
64961	Inactive
16218793	Inactive
8373	Inactive
11505	Inactive
12576	Inactive
6633	Inactive
8258	Inactive
10723	Inactive
81313	Inactive
78771	Inactive
72884	Inactive
2734247	Inactive
8390	Inactive
6440556	Inactive
6654	Inactive
7298	Inactive
2707	Inactive
5284499	Inactive
17100	Inactive
222536	Inactive
23194	Inactive
11499271	Inactive
7684	Inactive
8438	Inactive
16449	Inactive
5743	Inactive
11671	Inactive
12748	Inactive
7321	Inactive
66245	Inactive
7509	Inactive
10313079	Inactive
31432	Inactive
29096	Inactive
12342	Inactive
2734223	Inactive
7726	Inactive
8502	Inactive
16659	Inactive
10453	Inactive
11746	Inactive
6279	Inactive
6811	Inactive
7369	Inactive
5793	Inactive
7734	Inactive
12017	Inactive
6490	Inactive
61020	Inactive
7597	Inactive
54676228	Inactive
7748	Inactive
31296	Inactive
5811	Inactive
5578	Inactive
7407	Inactive
7354	Inactive
7757	Inactive
10176127	Inactive
75471	Inactive
3226	Inactive
72	Inactive
5382	Inactive
32346	Inactive
4276	Inactive
61410	Inactive
13432	Inactive
8085	Inactive
7829	Inactive
12989	Inactive
36081	Inactive
24287	Inactive
7819	Inactive
25833	Inactive
7529	Inactive
10704	Inactive
5558	Inactive
6969	Inactive
10486	Inactive
23707968	Inactive
6514	Inactive
13381	Inactive
92321	Inactive
10329304	Inactive
7858	Inactive
16097	Inactive
9253	Inactive
10797	Inactive
11899	Inactive
6365	Inactive
442495	Inactive
7834	Inactive
41022	Inactive
8112	Inactive
61032	Inactive
2723942	Inactive
3035467	Inactive
1910825	Inactive
3727	Inactive
7912	Inactive
8794	Inactive
18177	Inactive
11954	Inactive
6397	Inactive
7044	Inactive
23160050	Inactive
5378708	Inactive
5364509	Inactive
8151	Inactive
517063	Inactive
7469	Inactive
62477	Inactive
15074	Inactive
5576	Inactive
7949	Inactive
24883	Inactive
2537	Inactive
8037	Inactive
5281116	Inactive
74348	Inactive
8452	Inactive
643991	Inactive
115089	Inactive
8003	Inactive
15206	Inactive
18604	Inactive
12124	Inactive
24314	Inactive
7101	Inactive
47491	Inactive
24937	Inactive
6233	Inactive
30623	Inactive
16990	Inactive
11387	Inactive
23082568	Inactive
19463	Inactive
7487	Inactive
7503	Inactive
7526	Inactive
7570	Inactive
13931	Inactive
7671	Inactive
307	Inactive
7765	Inactive
61527	Inactive
7835	Inactive
7918	Inactive
7950	Inactive
8004	Inactive
8031	Inactive
8061	Inactive
14223	Inactive
8147	Inactive
7494	Inactive
8374	Inactive
8394	Inactive
8443	Inactive
31217	Inactive
7929	Inactive
26132	Inactive
8855	Inactive
27054	Inactive
27582	Inactive
7515	Inactive
2723754	Inactive
15660	Inactive
62725	Inactive
16180	Inactive
30231	Inactive
16993	Inactive
17111	Inactive
9280	Inactive
18510	Inactive
6537506	Inactive
6440940	Inactive
20138	Inactive
6028739	Inactive
78392	Inactive
21058	Inactive
5758	Inactive
5784	Inactive
5817	Inactive
10660	Inactive
10721	Inactive
447	Inactive
230976	Inactive
19266	Inactive
11245	Inactive
4064	Inactive
11356	Inactive
11560	Inactive
11584	Inactive
11673	Inactive
11750	Inactive
11852	Inactive
11875	Inactive
11910	Inactive
12018	Inactive
12091	Inactive
6115	Inactive
12302	Inactive
12364	Inactive
12512	Inactive
5356785	Inactive
