CID	ACT_AN
2333	Active
5694	Active
4614	Active
3117	Active
6708701	Active
54676537	Active
101925	Active
16129666	Active
3332	Active
39042	Active
71771	Active
6604557	Active
969516	Active
444795	Active
3969	Active
8593	Active
62960	Active
6862	Active
16682730	Active
11057	Active
5284416	Active
5284469	Active
26041	Active
16684434	Active
23703990	Active
3749	Active
77999	Active
3961	Active
60560	Active
65999	Active
73357	Active
20055083	Active
23706212	Active
11061	Active
6855	Active
30951	Active
19592	Active
42725	Active
28871	Active
11350	Active
6237	Active
68706	Active
15250	Active
26436	Active
71321	Active
5358572	Active
67686	Active
446284	Active
46861540	Active
5591	Active
2750	Active
2763	Active
3109	Active
667492	Active
5311217	Active
5717	Active
11954316	Active
2898	Active
54343	Active
65057	Active
4807	Active
55251	Active
93858	Active
65452	Active
54680085	Active
122077	Active
82146	Active
6917974	Active
23671932	Active
12164	Active
443130	Active
13118	Active
23672302	Active
644280	Active
56840936	Active
23665728	Active
15895902	Active
10288	Active
1923	Active
3715	Active
24180680	Active
54678486	Active
57823090	Active
5282203	Active
133264	Active
65953	Active
697993	Active
6301	Active
20838960	Active
151166	Active
5720	Active
5352624	Active
5282379	Active
16659	Active
11746	Active
115157	Active
533728	Active
13622	Active
8256	Active
7264	Active
2336	Active
7158	Active
11921	Active
7230	Active
638015	Active
86583	Active
19996	Active
5280863	Active
61249	Active
2346	Active
53665	Active
10793	Active
15096	Active
4420	Active
8722	Active
79878	Active
6618	Active
9153	Active
2724411	Active
409301	Active
28803	Active
16682804	Active
13530	Active
95717	Active
68226	Active
44368	Active
2201	Active
74062	Active
16682746	Active
19658	Active
9865514	Active
9799979	Active
170364	Active
11472813	Active
10233356	Active
16682828	Active
41385	Active
13961743	Active
10134976	Active
65067	Active
91766	Active
3081304	Active
3391107	Active
91699	Active
7511	Active
6948	Active
6912870	Active
70613	Active
445638	Active
82145	Active
30692	Active
22833506	Active
91731	Active
7825	Active
15069	Active
70811	Active
54678504	Active
66573	Active
4128060	Active
23700091	Active
7348	Active
17701	Active
6730	Active
1549133	Active
3714831	Active
16204922	Active
181518	Active
80037	Active
175956	Active
62556	Active
4443516	Active
170286	Active
18198	Active
23690437	Active
16683072	Active
54682651	Active
1730	Active
23665583	Active
6805	Active
66636	Active
16683023	Active
69484	Active
449171	Active
77328	Active
9786	Active
21859	Active
5281607	Active
3394	Active
5281055	Active
23665884	Active
61080	Active
10207	Active
9934458	Active
6603901	Active
16682953	Active
162268	Active
75282	Active
4420067	Active
61031	Active
12777	Active
9074	Active
15098	Active
7789	Active
8749	Active
25644	Active
19042	Active
171144	Active
16682834	Active
9930932	Active
67271	Active
10159191	Active
517000	Active
23668568	Active
28777	Active
20393	Active
15984075	Active
3003141	Active
4783	Active
9568078	Active
20054967	Active
3489	Active
66067	Active
154914	Active
8247	Active
3894848	Active
4890	Active
7607	Active
1910825	Active
15588	Active
7546	Active
11852	Active
6319	Active
2482	Active
7112	Active
77080	Active
14138	Active
8570	Active
608116	Active
6619	Active
84677	Active
7586	Active
20250	Active
4616	Active
5271569	Active
22463	Active
10824	Active
98613	Active
17231	Active
13636	Active
7015	Active
17570	Active
232446	Active
3278	Active
7638	Active
637930	Active
6197	Active
62770	Active
12111	Active
1483	Active
62276	Active
8196	Active
6732	Active
4169	Active
51556	Active
15531	Active
5280961	Active
10707	Active
91511	Active
9275	Active
9787	Active
4931	Active
7184	Active
31356	Active
13583	Active
6758	Active
70837	Active
6720	Active
5757	Active
14050	Active
81259	Active
992	Active
5053	Active
83511	Active
2078	Active
62306	Active
7340	Active
39562	Active
41384	Active
17170	Active
10377	Active
8305	Active
7031	Active
1988	Active
18480	Active
31426	Active
443939	Active
16700	Active
78738	Active
15927	Active
75628	Active
66062	Active
15412	Active
68297	Active
4788	Active
7296	Active
27882	Active
11764	Active
6528	Active
17599	Active
11858	Active
81829	Active
3884	Active
78490	Active
15529	Active
70425	Active
7381	Active
6623	Active
3220	Active
66166	Active
23674746	Active
9882837	Active
9849616	Active
53316382	Active
10201497	Active
12148754	Active
60196409	Active
5018304	Active
4764	Active
445354	Active
2969	Active
67821	Active
5724	Active
9885850	Active
9926621	Active
23673837	Active
6240	Active
11285653	Active
11723708	Active
76302	Active
7551	Active
9554	Active
73672	Active
21803	Active
91744	Active
3488	Active
11048796	Active
15910	Active
28935	Active
6778	Active
31677	Active
122087	Active
71478	Active
23677967	Active
83975	Active
86398	Active
13218777	Active
92425	Active
86429	Active
11097730	Active
91754	Active
5355863	Active
51605	Active
12898	Active
53672	Active
6733	Active
3036974	Active
21330	Active
34313	Active
27295	Active
28292	Active
8228	Active
38884	Active
5354266	Active
3957	Active
10234	Active
23017	Active
19402	Active
11140605	Active
54886	Active
39230	Active
32912	Active
93312	Active
20113	Active
55245	Active
4495	Active
23678979	Active
5360487	Active
16115	Active
92873	Active
5920	Active
2097895	Active
4044	Active
31208	Active
644213	Active
13708	Active
5365642	Active
23665771	Active
23668353	Active
3371	Active
26030	Active
5833	Active
5819	Active
13254	Active
23540	Active
2540	Active
16722125	Active
13783	Active
11774	Active
6112114	Active
91677	Active
9300	Active
2082	Active
5283345	Active
61204	Active
7180	Active
60822	Active
23666110	Active
33960	Active
75547	Active
8175	Active
657220	Active
7103	Active
638024	Active
16560	Active
446155	Active
4021	Active
25750	Active
5280443	Active
5280373	Active
62882	Active
5284363	Active
6028	Active
60962	Active
441140	Active
5280450	Active
11883	Active
60196435	Active
60196436	Active
60196438	Active
10160166	Active
14127	Active
29354	Active
3735	Active
78170	Active
65552	Active
16850	Active
75576	Active
86287525	Active
19602	Active
5803	Active
31100	Active
75575	Active
5281516	Active
23670838	Active
8330	Active
6051	Active
7812	Active
7475	Active
4984721	Active
8425	Active
3712	Active
29249	Active
636362	Active
457193	Active
4011	Active
3054	Active
2812	Active
5746	Active
