CID	ACT_AN
403	Active
1318	Active
1345	Active
1967	Active
1988	Active
2078	Active
2118	Active
2126	Active
2194	Active
2451	Active
2466	Active
2482	Active
2812	Active
3242	Active
3278	Active
3295	Active
3316	Active
3345	Active
3397	Active
3936	Active
4115	Active
4169	Active
4493	Active
4497	Active
4499	Active
4507	Active
4534	Active
4615	Active
4764	Active
4890	Active
4931	Active
4933	Active
5053	Active
5070	Active
5743	Active
5753	Active
5754	Active
5755	Active
5756	Active
5834	Active
5870	Active
5876	Active
5881	Active
5952	Active
6010	Active
6215	Active
6238	Active
6252	Active
6253	Active
6291	Active
6294	Active
6295	Active
6300	Active
6389	Active
6446	Active
6623	Active
6633	Active
6635	Active
6732	Active
6741	Active
6778	Active
6787	Active
6818	Active
6828	Active
6868	Active
7070	Active
7112	Active
7340	Active
7347	Active
7381	Active
7441	Active
7495	Active
7546	Active
7564	Active
7568	Active
7578	Active
7626	Active
7638	Active
7946	Active
8180	Active
8187	Active
8227	Active
8289	Active
8293	Active
8305	Active
8380	Active
8433	Active
8571	Active
8689	Active
8691	Active
8813	Active
8816	Active
9046	Active
9117	Active
9275	Active
9395	Active
9502	Active
9677	Active
9782	Active
9787	Active
10303	Active
10377	Active
10531	Active
10631	Active
10633	Active
10635	Active
10680	Active
10707	Active
11033	Active
11080	Active
11273	Active
11313	Active
11769	Active
11774	Active
11933	Active
12443	Active
12955	Active
13254	Active
13708	Active
13789	Active
13905	Active
14050	Active
14127	Active
15752	Active
15969	Active
16115	Active
16158	Active
16490	Active
16560	Active
16961	Active
17279	Active
17570	Active
17693	Active
17931	Active
18480	Active
18725	Active
19079	Active
19113	Active
20469	Active
20701	Active
20848	Active
21330	Active
21660	Active
21804	Active
22704	Active
25912	Active
26133	Active
26177	Active
27189	Active
27195	Active
27295	Active
31100	Active
31101	Active
31200	Active
31315	Active
31356	Active
31378	Active
32933	Active
33565	Active
33599	Active
33934	Active
35455	Active
36242	Active
36382	Active
38360	Active
38779	Active
38911	Active
39327	Active
39676	Active
40399	Active
40854	Active
41384	Active
42981	Active
43079	Active
47326	Active
50248	Active
50896	Active
50897	Active
53232	Active
54459	Active
55245	Active
56069	Active
56463	Active
60496	Active
60605	Active
60749	Active
60823	Active
60934	Active
61031	Active
62276	Active
62306	Active
62311	Active
62558	Active
64715	Active
65064	Active
65494	Active
65784	Active
65909	Active
65947	Active
66067	Active
66359	Active
68289	Active
68872	Active
68952	Active
69484	Active
69827	Active
71027	Active
71339	Active
71398	Active
72157	Active
73672	Active
73852	Active
74867	Active
74990	Active
75195	Active
75628	Active
76302	Active
82145	Active
82161	Active
82703	Active
84677	Active
84703	Active
86102	Active
86211	Active
86222	Active
86296	Active
86429	Active
87250	Active
87391	Active
91649	Active
91673	Active
91677	Active
91692	Active
91773	Active
92431	Active
92786	Active
92873	Active
93118	Active
94398	Active
100524	Active
104845	Active
107715	Active
108013	Active
108938	Active
111332	Active
114994	Active
115089	Active
119171	Active
119182	Active
121639	Active
130313	Active
148192	Active
150762	Active
153939	Active
155143	Active
157355	Active
157917	Active
168088	Active
169870	Active
180089	Active
180494	Active
192826	Active
213031	Active
214348	Active
216237	Active
224246	Active
229455	Active
235905	Active
236702	Active
243274	Active
247839	Active
250948	Active
259329	Active
387447	Active
440707	Active
441140	Active
441351	Active
441406	Active
442872	Active
443375	Active
443753	Active
443872	Active
443884	Active
443936	Active
445643	Active
446925	Active
448537	Active
454937	Active
460612	Active
608116	Active
636374	Active
636398	Active
637930	Active
644213	Active
656667	Active
656804	Active
667476	Active
1910825	Active
2723715	Active
2776282	Active
2999413	Active
3003141	Active
3034658	Active
3391107	Active
5280443	Active
5280453	Active
5280863	Active
5280961	Active
5281576	Active
5282164	Active
5282375	Active
5282493	Active
5283731	Active
5284537	Active
5284558	Active
5288209	Active
5318517	Active
5355863	Active
5362376	Active
5362708	Active
5702068	Active
6321253	Active
6433339	Active
6434889	Active
6439929	Active
6440556	Active
6450278	Active
6451325	Active
6505803	Active
6526396	Active
6975516	Active
9799979	Active
9831581	Active
9869105	Active
9895468	Active
9931156	Active
9938056	Active
9969573	Active
10113978	Active
10126299	Active
10201497	Active
10250129	Active
10455790	Active
11140605	Active
11193251	Active
11437710	Active
11826859	Active
11876263	Active
12038941	Active
12472902	Active
12797557	Active
12922658	Active
16052038	Active
16129778	Active
16722125	Active
16760153	Active
18173271	Active
23663400	Active
23663985	Active
23667299	Active
23671691	Active
23672582	Active
23673837	Active
23674746	Active
23678979	Active
23706212	Active
24852044	Active
44460585	Active
50878597	Active
53316406	Active
54678504	Active
56846451	Active
59086459	Active
60196289	Active
60196297	Active
60196359	Active
60196405	Active
60196427	Active
60196430	Active
60196436	Active
135398735	Active
135403821	Active
135449328	Active
6	Active
2336	Active
3109	Active
3334	Active
3634	Active
4420	Active
4807	Active
5745	Active
5757	Active
5832	Active
5833	Active
5865	Active
5877	Active
5991	Active
5994	Active
5995	Active
6013	Active
6047	Active
6128	Active
6166	Active
6230	Active
6231	Active
6279	Active
6301	Active
6999	Active
7031	Active
8010	Active
8225	Active
8722	Active
8749	Active
9051	Active
9153	Active
9270	Active
9324	Active
9403	Active
9878	Active
9904	Active
10204	Active
10474	Active
10634	Active
11057	Active
13109	Active
13428	Active
13530	Active
13765	Active
13791	Active
14708	Active
14710	Active
14743	Active
16533	Active
17701	Active
18980	Active
19042	Active
19571	Active
19658	Active
19996	Active
21070	Active
21700	Active
21800	Active
25015	Active
25644	Active
26041	Active
26633	Active
27423	Active
27812	Active
28417	Active
28803	Active
29393	Active
30323	Active
30692	Active
31307	Active
32798	Active
40000	Active
40973	Active
44368	Active
53665	Active
60198	Active
62770	Active
62960	Active
63047	Active
63049	Active
65067	Active
65359	Active
65478	Active
65953	Active
66573	Active
68570	Active
68873	Active
68947	Active
70613	Active
71386	Active
71414	Active
71470	Active
73093	Active
73773	Active
91670	Active
93858	Active
95717	Active
108956	Active
115157	Active
153751	Active
165457	Active
170286	Active
171660	Active
197873	Active
222757	Active
222786	Active
229295	Active
231084	Active
248271	Active
439501	Active
441207	Active
443831	Active
443928	Active
443935	Active
443947	Active
444008	Active
444025	Active
454216	Active
518605	Active
636362	Active
656583	Active
2724385	Active
3033968	Active
4128060	Active
5281034	Active
5282494	Active
5284416	Active
5284486	Active
5284533	Active
5284557	Active
5284587	Active
5311051	Active
5311067	Active
5362123	Active
6327657	Active
6432394	Active
6473881	Active
6540478	Active
6714002	Active
6917715	Active
6918178	Active
9568628	Active
9818306	Active
9872438	Active
9909677	Active
10041070	Active
11296583	Active
11472813	Active
11477651	Active
16051930	Active
16682730	Active
16682804	Active
16682953	Active
16682999	Active
16683023	Active
16683761	Active
16684434	Active
16760141	Active
23665583	Active
23680530	Active
23694214	Active
46861540	Active
56649463	Active
60196346	Active
2082	Active
6167	Active
9880	Active
10607	Active
11683	Active
12688	Active
14425	Active
235227	Active
5284610	Active
5284616	Active
5388983	Active
9552079	Active
1730	Active
2378	Active
2543	Active
3225	Active
4030	Active
4122	Active
4622	Active
4641	Active
4788	Active
5507	Active
5974	Active
5978	Active
6769	Active
7511	Active
7551	Active
8152	Active
8155	Active
8550	Active
9786	Active
10771	Active
11366	Active
12449	Active
14250	Active
15588	Active
17038	Active
20708	Active
24633	Active
26030	Active
31239	Active
31280	Active
31426	Active
31677	Active
33309	Active
36314	Active
38884	Active
43116	Active
44073	Active
50491	Active
51082	Active
53672	Active
54886	Active
60699	Active
60751	Active
61253	Active
62379	Active
64142	Active
65948	Active
66435	Active
68297	Active
73357	Active
76013	Active
77080	Active
81259	Active
93312	Active
104850	Active
107720	Active
107770	Active
108150	Active
119175	Active
119607	Active
122087	Active
122797	Active
148124	Active
148673	Active
156414	Active
181518	Active
220401	Active
232446	Active
259331	Active
299728	Active
441336	Active
444000	Active
444021	Active
457193	Active
833466	Active
1013376	Active
2734227	Active
2734229	Active
2734231	Active
3015167	Active
3033825	Active
3062316	Active
5280899	Active
5284515	Active
5284623	Active
5364713	Active
6537495	Active
6708701	Active
6857648	Active
6918686	Active
9562059	Active
9571016	Active
9849616	Active
9865233	Active
9885850	Active
9888347	Active
10476437	Active
11402127	Active
11556711	Active
16051941	Active
16211385	Active
16211417	Active
16217238	Active
16682736	Active
16682740	Active
16760569	Active
18506491	Active
20054868	Active
22678982	Active
23160059	Active
23663992	Active
25015677	Active
46226173	Active
46781343	Active
53316382	Active
60196278	Active
60196288	Active
60196304	Active
60196366	Active
60196375	Active
60196379	Active
60196406	Active
60196435	Active
4	Inactive
11	Inactive
13	Inactive
33	Inactive
34	Inactive
51	Inactive
66	Inactive
72	Inactive
79	Inactive
107	Inactive
119	Inactive
135	Inactive
174	Inactive
176	Inactive
178	Inactive
179	Inactive
180	Inactive
190	Inactive
196	Inactive
204	Inactive
227	Inactive
240	Inactive
241	Inactive
243	Inactive
244	Inactive
247	Inactive
261	Inactive
262	Inactive
263	Inactive
264	Inactive
289	Inactive
300	Inactive
307	Inactive
308	Inactive
311	Inactive
323	Inactive
325	Inactive
326	Inactive
335	Inactive
338	Inactive
342	Inactive
356	Inactive
370	Inactive
379	Inactive
385	Inactive
398	Inactive
447	Inactive
454	Inactive
460	Inactive
464	Inactive
525	Inactive
527	Inactive
541	Inactive
546	Inactive
564	Inactive
568	Inactive
588	Inactive
594	Inactive
597	Inactive
612	Inactive
614	Inactive
650	Inactive
660	Inactive
671	Inactive
674	Inactive
679	Inactive
681	Inactive
700	Inactive
701	Inactive
702	Inactive
712	Inactive
713	Inactive
727	Inactive
743	Inactive
750	Inactive
753	Inactive
757	Inactive
774	Inactive
785	Inactive
791	Inactive
795	Inactive
798	Inactive
802	Inactive
803	Inactive
807	Inactive
811	Inactive
863	Inactive
864	Inactive
867	Inactive
875	Inactive
876	Inactive
887	Inactive
892	Inactive
896	Inactive
904	Inactive
931	Inactive
936	Inactive
938	Inactive
949	Inactive
957	Inactive
967	Inactive
970	Inactive
971	Inactive
978	Inactive
985	Inactive
991	Inactive
994	Inactive
995	Inactive
996	Inactive
998	Inactive
999	Inactive
1004	Inactive
1017	Inactive
1018	Inactive
1030	Inactive
1031	Inactive
1046	Inactive
1049	Inactive
1050	Inactive
1053	Inactive
1054	Inactive
1057	Inactive
1060	Inactive
1066	Inactive
1080	Inactive
1091	Inactive
1110	Inactive
1118	Inactive
1123	Inactive
1133	Inactive
1136	Inactive
1140	Inactive
1146	Inactive
1174	Inactive
1175	Inactive
1176	Inactive
1183	Inactive
1254	Inactive
1355	Inactive
1359	Inactive
1474	Inactive
1480	Inactive
1483	Inactive
1486	Inactive
1488	Inactive
1491	Inactive
1533	Inactive
1639	Inactive
1672	Inactive
1674	Inactive
1676	Inactive
1678	Inactive
1687	Inactive
1727	Inactive
1732	Inactive
1752	Inactive
1775	Inactive
1807	Inactive
1892	Inactive
1923	Inactive
1935	Inactive
1979	Inactive
1981	Inactive
1982	Inactive
1983	Inactive
1984	Inactive
1985	Inactive
1986	Inactive
1989	Inactive
1990	Inactive
1999	Inactive
2000	Inactive
2005	Inactive
2006	Inactive
2018	Inactive
2040	Inactive
2052	Inactive
2061	Inactive
2075	Inactive
2081	Inactive
2083	Inactive
2086	Inactive
2119	Inactive
2120	Inactive
2122	Inactive
2123	Inactive
2130	Inactive
2140	Inactive
2141	Inactive
2145	Inactive
2148	Inactive
2149	Inactive
2151	Inactive
2153	Inactive
2155	Inactive
2157	Inactive
2159	Inactive
2164	Inactive
2170	Inactive
2176	Inactive
2187	Inactive
2196	Inactive
2197	Inactive
2201	Inactive
2202	Inactive
2206	Inactive
2225	Inactive
2230	Inactive
2244	Inactive
2247	Inactive
2249	Inactive
2256	Inactive
2264	Inactive
2265	Inactive
2266	Inactive
2268	Inactive
2272	Inactive
2273	Inactive
2284	Inactive
