CID	ACT_AN
65953	Active
12530	Active
2336	Active
7495	Active
6815	Active
68589	Active
73773	Active
17231	Active
7308	Active
13849	Active
22833321	Active
13514	Active
517546	Active
7789	Active
8398	Active
7347	Active
15096	Active
12688	Active
8722	Active
26041	Active
16682730	Active
12472902	Active
9153	Active
2724411	Active
16700	Active
23664361	Active
26710	Active
23160059	Active
472181	Active
95717	Active
68226	Active
44368	Active
74062	Active
82703	Active
28803	Active
16682746	Active
6439420	Active
10233356	Active
16682828	Active
10134976	Active
60560	Active
65067	Active
107720	Active
7511	Active
9959038	Active
82145	Active
643684	Active
5455	Active
66573	Active
7348	Active
80434	Active
3957	Active
181518	Active
458426	Active
20113	Active
16683072	Active
39042	Active
6433266	Active
23668353	Active
16684434	Active
77328	Active
9786	Active
5281055	Active
23673604	Active
9934458	Active
6603901	Active
62583	Active
16682953	Active
75282	Active
4420067	Active
6928	Active
16682834	Active
11193251	Active
11767	Active
171660	Active
5381	Active
5362123	Active
62960	Active
5311217	Active
610479	Active
57823090	Active
33630	Active
206044	Active
14552708	Active
73828	Active
154256	Active
46861540	Active
15984075	Active
154914	Active
6537495	Active
16682740	Active
2788	Active
3068143	Active
3278	Active
6197	Active
62770	Active
5991	Active
15910	Active
1318	Active
24633	Active
18480	Active
457193	Active
443939	Active
14012	Active
16682736	Active
16682804	Active
6623	Active
11742	Active
66166	Active
4764	Active
93118	Active
5280961	Active
11723708	Active
24814	Active
7551	Active
9554	Active
14300	Active
91744	Active
6327657	Active
11402127	Active
2268	Active
11485	Active
2723622	Active
213016	Active
21804	Active
4778	Active
27295	Active
91593	Active
3714831	Active
19402	Active
55245	Active
23665583	Active
54680085	Active
92873	Active
644213	Active
2603	Active
26030	Active
5833	Active
6857648	Active
299728	Active
441140	Active
25644	Active
14716	Active
60196435	Active
636362	Active
74989	Active
2812	Active
5746	Active
30323	Active
387447	Active
23663400	Active
130313	Active
11969781	Active
3334	Active
11296583	Active
91771	Active
14710	Active
16574	Active
3033825	Active
9910986	Active
71894	Active
443375	Active
13118	Active
50491	Active
6918454	Active
17931	Inactive
3045407	Inactive
14708	Inactive
5432	Inactive
54158	Inactive
6505	Inactive
3045402	Inactive
11956149	Inactive
3058503	Inactive
71580	Inactive
60196312	Inactive
3041255	Inactive
92942	Inactive
13493	Inactive
3030770	Inactive
60977	Inactive
62300	Inactive
60196316	Inactive
60196318	Inactive
60196319	Inactive
118031	Inactive
60196321	Inactive
60196323	Inactive
46783063	Inactive
