CID	ACT_AN
14708	Active
92140	Active
6505	Active
92942	Active
62300	Active
60196316	Active
60196318	Active
60196321	Active
60196322	Active
60196323	Active
46783063	Active
9567	Active
151318	Active
12259683	Active
64761	Active
65494	Active
14184	Active
11969480	Active
5362115	Active
3307	Active
53384398	Active
3047798	Active
5282215	Active
27891	Active
3003141	Active
132916	Active
10455790	Active
133264	Active
3309	Active
9568078	Active
20054967	Active
65953	Active
443947	Active
34051	Active
119175	Active
15004	Active
9570475	Active
35751	Active
27901	Active
31473	Active
4921	Active
4047	Active
208836	Active
3300	Active
164072	Active
156414	Active
5284620	Active
656667	Active
5311454	Active
21660	Active
67955	Active
5281707	Active
15439	Active
5391	Active
6537495	Active
7248	Active
21694	Active
7595	Active
15752	Active
5281034	Active
3894848	Active
4890	Active
7022	Active
29872	Active
6633	Active
13745	Active
5282379	Active
16741	Active
21013	Active
6440556	Active
16682740	Active
5364713	Active
61100	Active
2734223	Active
36159	Active
171144	Active
40301	Active
99953	Active
11859	Active
7472	Active
627458	Active
41022	Active
1910825	Active
22571	Active
7062	Active
10474	Active
50516	Active
21622	Active
22086	Active
26633	Active
700999	Active
5993	Active
2788	Active
5273621	Active
27582	Active
2723754	Active
15588	Active
7546	Active
18360	Active
6537506	Active
6439929	Active
1548943	Active
95170	Active
11080	Active
11852	Active
6319	Active
6828	Active
7102	Active
2482	Active
2406	Active
54891	Active
8442	Active
3068143	Active
533728	Active
10452	Active
17593	Active
33934	Active
7112	Active
62130	Active
146540	Active
20240	Active
13622	Active
6670	Active
4594	Active
13297	Active
197873	Active
10891	Active
25015	Active
14138	Active
83050	Active
8570	Active
17569	Active
56638112	Active
69150	Active
23019	Active
6620	Active
608116	Active
6619	Active
84677	Active
102724	Active
8633	Active
60196294	Active
17321	Active
3015167	Active
22678982	Active
12040509	Active
11461044	Active
22239085	Active
53316407	Active
2734227	Active
10250129	Active
2734231	Active
16211009	Active
2734239	Active
2734172	Active
7490	Active
13619	Active
6929	Active
9958	Active
5935	Active
7192	Active
9414	Active
7543	Active
28207	Active
5366546	Active
22833294	Active
67349	Active
9324	Active
11112	Active
20250	Active
6881	Active
11830	Active
197835	Active
7264	Active
11460221	Active
11375816	Active
4616	Active
10236	Active
16212746	Active
2336	Active
8407	Active
9158	Active
329983	Active
7097	Active
13436	Active
2734175	Active
7331	Active
6815	Active
16212610	Active
12036651	Active
6053	Active
2734243	Active
68589	Active
5284459	Active
22463	Active
16218822	Active
11921	Active
5897	Active
21499	Active
12184591	Active
16420	Active
20701	Active
8540	Active
17113	Active
11955	Active
13101	Active
919792	Active
7230	Active
98613	Active
17231	Active
5930	Active
5281565	Active
5284469	Active
64142	Active
71645	Active
11571	Active
5801	Active
449459	Active
7015	Active
7329	Active
14709	Active
18728	Active
17570	Active
123504	Active
11888	Active
11990	Active
7578	Active
10635	Active
5288209	Active
6537489	Active
638015	Active
8428	Active
7563	Active
6371716	Active
232446	Active
7308	Active
2734117	Active
69317	Active
6787	Active
113124	Active
7265	Active
6436079	Active
34757	Active
33133	Active
969516	Active
135436526	Active
7638	Active
637930	Active
73668	Active
15277	Active
12111	Active
5280863	Active
10316	Active
70038	Active
62969	Active
6618	Active
2346	Active
5371084	Active
6753	Active
2999413	Active
91649	Active
53665	Active
79717	Active
13514	Active
41684	Active
14347	Active
8640	Active
28780	Active
10788	Active
1752	Active
3035	Active
68570	Active
6635	Active
9502	Active
8572	Active
5991	Active
8413	Active
24744	Active
6294	Active
11742	Active
62276	Active
22584	Active
8196	Active
3293	Active
7231	Active
23673837	Active
3598	Active
5569	Active
6732	Active
5753	Active
445154	Active
5870	Active
4169	Active
135398735	Active
16230	Active
7567	Active
4937	Active
51556	Active
7713	Active
18529	Active
32154	Active
13263	Active
638034	Active
15630	Active
5280961	Active
3037	Active
22833326	Active
40585	Active
5281708	Active
39327	Active
638014	Active
62485	Active
33528	Active
73665	Active
73864	Active
43234	Active
73675	Active
41206	Active
8289	Active
16560	Active
9352	Active
8341	Active
338733	Active
8398	Active
5281872	Active
47326	Active
5280443	Active
7271	Active
6529	Active
6167	Active
37175	Active
7327	Active
7347	Active
11937	Active
5455	Active
73672	Active
7076	Active
20087	Active
40326	Active
5284441	Active
299	Active
6540	Active
3346	Active
235227	Active
91511	Active
30773	Active
9275	Active
15096	Active
5284363	Active
43226	Active
6295	Active
4420	Active
87244	Active
8371	Active
17142	Active
78170	Active
37517	Active
2724385	Active
3032791	Active
6702	Active
9880	Active
15910	Active
73670	Active
9787	Active
9074	Active
67271	Active
23707968	Active
7577	Active
10332	Active
10522	Active
5934	Active
11057	Active
11831	Active
4114	Active
7050	Active
5994	Active
6436	Active
50896	Active
31356	Active
6001	Active
727200	Active
4781	Active
5543	Active
27189	Active
40000	Active
4993	Active
9154	Active
3347	Active
2871	Active
62097	Active
12525	Active
2728	Active
29732	Active
8663	Active
8679	Active
38479	Active
11933	Active
11860	Active
8722	Active
3589	Active
36242	Active
6336	Active
7421	Active
6028	Active
5125	Active
79878	Active
4891	Active
75576	Active
6	Active
2662	Active
2268	Active
86607	Active
4632	Active
2256	Active
8607	Active
21307	Active
638024	Active
7814	Active
5881	Active
1318	Active
991	Active
5546	Active
27465	Active
7547	Active
7579	Active
33775	Active
4936	Active
5757	Active
5954	Active
13690	Active
2733525	Active
24860538	Active
7013	Active
616765	Active
13450	Active
7057	Active
5284366	Active
5280373	Active
4928	Active
8152	Active
11776	Active
7005	Active
81259	Active
8749	Active
992	Active
5053	Active
2286	Active
62630	Active
62311	Active
8691	Active
39676	Active
43079	Active
26177	Active
8455	Active
3397	Active
8615	Active
87984	Active
108938	Active
2078	Active
62306	Active
4764	Active
7103	Active
66166	Active
7070	Active
8418	Active
36606	Active
24633	Active
6868	Active
38037	Active
8689	Active
5284416	Active
7340	Active
6014	Active
6128	Active
2319	Active
5368821	Active
8571	Active
4793	Active
13271	Active
24502	Active
5280343	Active
16043	Active
73852	Active
5111791	Active
289	Active
62530	Active
22772	Active
444795	Active
86102	Active
3385	Active
17170	Active
4929	Active
5280793	Active
10377	Active
2355	Active
7111	Active
34192	Active
3224	Active
13283	Active
12902	Active
12472902	Active
9153	Active
2730	Active
5770	Active
8305	Active
5430	Active
8588	Active
448537	Active
