CID	ACT_AN
16043	Active
2724411	Active
79472	Active
8969	Active
4904	Active
5920	Active
122820	Active
65758	Active
1967	Active
1935	Active
2812	Active
5280961	Active
55918	Active
3899	Active
3883	Active
4122	Active
4810	Active
4497	Active
4418	Active
4477	Active
4485	Active
61100	Active
5070	Active
5154	Active
1548887	Active
4055	Active
3828	Active
2788	Active
5430	Active
12456	Active
16363	Active
3634	Active
6420040	Active
26596	Active
4189	Active
4030	Active
3334	Active
2082	Active
441383	Active
4594	Active
3784	Active
55397	Active
74989	Active
54680693	Active
5284452	Active
2725002	Active
9651	Active
34040	Active
643606	Active
656743	Active
3728	Active
8691	Active
3295	Active
2378	Active
9681	Active
2829432	Active
68601	Active
6005	Active
10466908	Active
71827	Active
7619	Active
65768	Active
57469	Active
68713	Active
68928	Active
15139	Active
6129	Active
41684	Active
2723601	Active
439280	Active
5770	Active
10316	Active
14710	Active
3346	Active
667490	Active
15106	Active
2723598	Active
6436135	Active
65399	Active
9060	Active
37274	Active
10314472	Active
56801	Active
123015	Active
11957707	Active
443951	Active
11957725	Active
2871	Active
3120	Active
443101	Active
2453	Active
3362	Active
23663974	Active
5281613	Active
3316	Active
32798	Active
16667700	Active
9556529	Active
4679	Active
23725082	Active
6293	Active
2722	Active
2817	Active
3747	Active
676166	Active
11313	Active
7814	Active
60962	Active
5284607	Active
5480	Active
123631	Active
123596	Active
14868	Active
7232	Active
32343	Active
14720269	Active
443375	Active
60712	Active
6764	Active
5360232	Active
42725	Active
28718	Active
11043	Active
65776	Active
27448	Active
72157	Active
8708	Active
71116	Active
170327	Active
119583	Active
68363	Active
16837	Active
6719	Active
9570327	Active
65620	Active
11310	Active
24188465	Active
15568	Active
71645	Active
4602	Active
14369	Active
24107	Active
21798	Active
72068	Active
159977	Active
17693	Active
135400471	Active
165457	Active
19646	Active
9574235	Active
33334	Active
36663	Active
19910	Active
72098	Active
71986	Active
46861540	Active
5282138	Active
32731	Active
6321253	Active
16760569	Active
7547	Active
5819	Active
18637	Active
10209	Active
1549158	Active
667492	Active
9927058	Active
5311217	Active
5717	Active
5742631	Active
115367	Active
23663996	Active
176870	Active
23663976	Active
4499	Active
60196293	Active
62330	Active
37907	Active
17113	Active
9849425	Active
8549	Active
2040	Active
2161	Active
6437380	Active
6099	Active
636411	Active
5918	Active
23663985	Active
51045	Active
54889	Active
16078	Active
135659063	Active
11219835	Active
8550	Active
10126299	Active
135409535	Active
60196301	Active
71454	Active
443942	Active
33309	Active
5281082	Active
6433356	Active
22549	Active
151194	Active
1013376	Active
8366	Active
46781343	Active
92942	Active
3048355	Active
13649426	Active
15008962	Active
134018	Active
71310	Active
10288	Active
10382	Active
135565635	Active
5507	Active
54339	Active
23665888	Active
71890	Active
7083	Active
10113978	Active
10212	Active
122797	Active
3047798	Active
28871	Active
3015003	Active
403	Active
5282215	Active
27891	Active
3003141	Active
132916	Active
10455790	Active
9568078	Active
33176	Active
9570475	Active
34870	Active
60196352	Active
4921	Active
4257	Active
9570290	Active
9826528	Active
5311051	Active
156422	Active
5282367	Active
68781	Active
16211610	Active
40854	Active
8546	Active
697993	Active
3259	Active
2543	Active
5761	Active
5281032	Active
4947	Active
517321	Active
10374	Active
101576	Active
3036780	Active
6450551	Active
5311454	Active
3033151	Active
22386467	Active
5352624	Active
3767	Active
5281707	Active
165286	Active
15965	Active
6693	Active
4649906	Active
7248	Active
7595	Active
15752	Active
3894848	Active
7022	Active
64961	Active
7607	Active
29872	Active
16741	Active
21013	Active
13205	Active
11443	Active
25608	Active
40301	Active
7472	Active
522105	Active
15132	Active
7062	Active
21622	Active
22086	Active
7737	Active
27054	Active
2723754	Active
15588	Active
11080	Active
